post_title,post_name_en,post_content,post_status,post_type,location,operating_org,project_link,geographic_region,recruitment_cycle,target_audience,latitude,longitude,coordinate_source
חממת יזמות תרבות-תיירות לנשים יוצרות בחברה הבדואית בנגב סטודיו משלך,Studio Mishelach - The center of Women's Art  in Jerusalem,"""סטודיו משלך"" הוא מרחב וקהילה לנשים אמניות המקדם שיח רב-תרבותי ושינוי חברתי דרך אמנות עכשווית ופרויקטים במרחב הציבורי. המרכז מציע גלריה, סדנאות ותוכנית מנטורינג ייחודית לקידום אמניות מהמגזר החרדי, הערבי והבדואי ליצירת גשרים בין אוכלוסיות בירושלים.",publish,project,,,,מרכז,מחזור ה,נוער וילדים | נשים,,,
מעגלי חיכאיאת (סיפורים),Maagaley Hikayat - Jewish and Arab women tell a new story in the Galilee,"מיזם ""חיכאיאת"" מחבר בין נשים דרך אמנות סיפור הסיפורים, הכשרות מקצועיות ותיעוד סיפורי ""חיים משותפים"" בעברית ובערבית. בשנת 2025 יתרחב המיזם להקלטת פודקאסטים, תחרויות כתיבה והקמת ""אוהל מספרות"" בפסטיבלים לקידום דיאלוג רב-תרבותי.",publish,project,,,https://hikayat.co.il/,מרכז,מחזור ה,נשים | יהודים וערבים,,,
מעגל סבאיא –  מעגל נשים שותפות,Sharaka - Women's circle Partnership,"מעגלי נשים לסטודנטיות יהודיות וערביות ממכללת תל חי. הפעילות כוללת גם סמינר, מפגש עם קבוצות אחרות, סיורי העמקה ושותפות ברשת הבוגרים של תוכניות ""זרעים של שותפות""",publish,project,,,,מרכז,מחזור ה,צעירים וסטודנטים,,,
נפגשים בשבילי אברהם אבינו,Meeting on the paths of Abraham our father,"מפגש והכרות מעמיקה של השפה, התרבות והמסורות הערבית לצעירים יהודים מקהילות שמרניות",publish,project,,,,מרכז,מחזור ה,צעירים וסטודנטים | יהודים וערבים,,,
על המקאם הזה: אמנות התרגום כאפשרות למפגש,Al Hamakam Haze (About this Place): Finding common ground through the Art of Translation,"על המקאם הזה היא תוכנית שנתית שמטרתה מפגש פואטי קבוע ומתמשך בין יוצרים ערבים ויהודים, שימוש בפרקטיקות התרגום ככלי לדיאלוג דו לשוני עמוק והיכרות רחבה יותר עם שתי השפות.",publish,project,,,,מרכז,מחזור ה,יהודים וערבים,,,
שיח נשי יהודי מוסלמי  יוזמות תקווה,Women envision hope,הקמת קבוצות מקומיות של נשים יוזמות תקווה ועשייה קהילתית מותאמת לשטח,publish,project,,,,מרכז,מחזור ה,נשים | יהודים וערבים,,,
שוף אל נוף - מיזם טיולים משותפים,Shouf el Nof - Community-Based Cultural Heritage Tourism Development,"15 יזמים חברתיים, יהודים וערבים, ישתתפו בתוכנית לפיתוח תיירות קהילתית ויקיימו סיורים רב-תרבותיים באזור חוף הכרמל, זכרון יעקב והסביבה. היזמים יובילו סיורי פיילוט ויקימו מערך שיווק משותף שמטרתו לחזק ולספר את הנרטיב האזורי המשותף.",publish,project,,,,מרכז,מחזור ה,יהודים וערבים | אנשי מקצוע ופעילים,,,
שכונת הפסיפס,Mosaic Neiborhood,"הפרויקט מציע יצירת פסיפסים קהילתיים ומשפחתיים המבטאים זהויות מגוונות לצד חיבור לזהות משותפת אחת. היצירות יוצגו במרחב הציבורי ויהפכו את השכונה למוקד של גאווה מקומית, עניין ותחושת שייכות עירונית ולאומית.",publish,project,מוזיאון פסיפס לוד,"אדרבה לוד המרכז למורשת התנאים ע""ר  מוזיאון פסיפס לוד - מוניקס",,מרכז,מחזור ו,קהל מגוון,,,
חִבּוּרֵי יַלְדוּת,Early Childhood Bonds,"מיזם ""חיבורי ילדות"" נועד לחזק את הלכידות החברתית בין הקהילות והצוותים החינוכיים בישראל דרך התמקדות במשותף. המיזם כולל מפגשי צוות ואירועי שיא עם הורים וילדים סביב נושאי ילדות נוסטלגיים כמו משחקים, שירים וחלומות",publish,project,"מיזם ""חיבורי ילדות"" פועל במעונות יום, צהרונים ומרכזי הורות ומשפחה של החברה למתנ""סים, 10 קבוצות בפריסה ארצית.",האגודה לעידוד מרכזים קהילתיים בישראל,https://www.matnasim.org.il/program/bakehila,מרכז,מחזור ו,נוער וילדים | יהודים וערבים | אנשי מקצוע ופעילים,,,
במה משותפת - תיאטרון לקירוב לבבות,shared stage- atheater that bring hearts closer,מפגשים של קבוצת ילדים יהודים וערבים שיצרו יחד בתהליך קבוצתי ויצרו יחד,publish,project,תיאטרון אלמינא החדש בנמל יפו . תיאטרון עם חזון במטרה לעורר השראה ולגשר ולתווך למען קיום משותף דרך אמנויות הבמה,עמותת אלמינא - בית ליוצרים,www.elminajaffa.com,מרכז,מחזור ו,נוער וילדים | יהודים וערבים,32.051297,34.74933,
אקוסיסטם הבוסתן לתמיכה בחברה משותפת,Bustan,"מיזם ""הבוסתן"" פועל לביסוס קהילה ומנהיגות ערבית-יהודית משותפת בנוף הגליל באמצעות מפגשים ואירועים קהילתיים. המיזם בונה שותפויות רב-מגזריות עם גופי ממשל, אקדמיה וחברה אזרחית כדי ליצור מערכת תומכת לחברה משתפת.",publish,project,נוף הגליל,"תיקון- מרכז לחינוך, מפגש ושינוי חברתי",https://www.facebook.com/bustan.sharedcommunity/?locale=he_IL,צפון,מחזור ו,נוער וילדים | נשים,32.717647,35.34611,
לחיות ביחד,living Together,"הפרויקט יוצר רצף של מפגשי העמקה, סדנאות על זהות ותרבות, ביקורים הדדיים, ולבסוף פרויקט חברתי משותף שנבחר ומבוצע יחד על ידי המשתתפים - תרומה מוחשית לחברה, המדגישה את הערכים של שותפות, אחריות ואזרחות פעילה.",publish,project,"צפון הארץ, יבנה",נוער מוביל שינוי,://aharai.org.il /,צפון,מחזור ו,נוער וילדים | יהודים וערבים,32.795866,35.332191,
רוקמות שותפות,"“Embroidering Partnership""","המיזם מפגיש נשים בדואיות רוקמות, מעצבות מפולין וסטודנטים משנקר לעיצוב  קולקציית אופנת עילית משותפת, תוך עבודה משולבת ב”הנגריה” ביד מרדכי ובכפרים הבדואיים. הפעילות כוללת עיצוב, תפירה, תערוכות, סדנאות והרצאות המקדמות דו-קיום, שימור מורשת והעצמה קהילתית",publish,project,קיבוץ יד מרדכי,תוויתא מנגינה,,דרום,מחזור ו,צעירים וסטודנטים | נשים | יהודים וערבים,31.587409,34.560902,
נוער מוביל תרבות,Youth Culture Leadership Program,"נוער מוביל תרבות היא תוכנית שנתית לטיפוח בני ובנות נוער בעלי זיקה לתרבות ולאמנות, במטרה להכשירם כיזמים/ות ומנהיגים/ות בתחום. במהלך התוכנית המשתתפים זוכים להיכרות מעמיקה עם עולם התרבות באמצעות מפגשים עם יוצרים, סדנאות, הרצאות וסיורים, ולומדים כיצד להוציא לפועל יוזמות תרבות מהרעיון ועד הביצוע.",publish,project,"מקום לשירה: סירקין 5, חיפה",מקום לשירה & דרך רוח,https://bit.ly/4gFUONC,כרמל,מחזור ו,נוער וילדים | אנשי מקצוע ופעילים,32.800626,35.002014,
חינוך לשותפות - רשויות שכנות,Education for Partnership - Neighboring Municipalities,"תוכנית ""חינוך לשותפות"" מחברת בין רשויות יהודיות וערביות סמוכות בנגב ליצירת אמון והבנה הדדית בקרב הנהגות ואנשי חינוך. השלב הבא במיזם מרחיב את הפעילות למפגשים ישירים בין תלמידים בבתי הספר לקידום סובלנות וחיים משותפים.",publish,project,רהט + מ.א. בני שמעון + מרחבים ערד + כסיפה רח'מה + ירוחם,אג'יק - מכון הנגב,https://ajeec-nisped.org.il/?page_id=16336,דרום,מחזור ו,נוער וילדים | אנשי מקצוע ופעילים,31.362759,34.743899,
מסע בית הלל,The Bus,"קבוצה של דתיים וחרדים, נשים וגברים, תצא למסע ישראלי משותף לבניית שיח ישיר ולמידה משותפת על קבוצות וסוגיות מרכזיות בהוויה הישראלית",publish,project,רחבי הארץ,ארגון רבני ורבניות בית הלל,https://beithillel.org.il/,מרכז,מחזור ו,דתיים וחילונים | אנשי מקצוע ופעילים,31.862965,34.782832,
חברה משותפת - המודל המקומי,Shared Society  -The Local Model,מספקים לרשויות כלים מעשיים ומסגרת מלווה לקידום יחסי ערבים-יהודים סביב סוגיות היום-יום,publish,project,רחבי הארץ,שיטה - מכון למדיניות מקומית,https://shittah.org/,מרכז,מחזור ו,יהודים וערבים,32.230375,34.906956,
כפר סטודנטים יהודי-ערבי,Jewish-Arab Students' Village,"כפר הסטודנטים היהודי ערבי בבאר שבע מבקש לנצל את ההזדמנות הייחודית של השלב הסטודנטיאלי בו יהודים וערבים יושבים זה לצד זה על ספסל הלימודים בכדי ליצור היכרות, דיאלוג מעמיק ושותפות במרחבי פעולה שונים.",publish,project,באר שבע,דרכים,https://hechalutz.com/programs/studenttogether/,דרום,מחזור ו,צעירים וסטודנטים | יהודים וערבים,31.271514,34.773421,
יוצרים עתיד: חינוך אזרחי לדמוקרטיה בהכשרה להוראה,Shaping the Future: Civic Education for Democracy in Teacher Education,"מיזם ""יוצרים עתיד"" מכשיר אנשי חינוך לקידום חברה אזרחית מעורבת דרך מפגש בין סטודנטים להוראה מכלל המגזרים. יחד, הם פועלים בזירה חינוכית משותפת לעיצוב פני החברה ולחיזוק המרקם החברתי בישראל.",publish,project,כל הארץ,בר קיימא,https://www.facebook.com/profile.php?id=61571704450666,מרכז,מחזור ו,צעירים וסטודנטים,31.825432,34.844561,
"מועדון האופניים הקהילתי ""המסלול יפו""",Ha-Maslul Jaffa – community cycling club,"מועדון האופניים הקהילתי ""המסלול יפו"" – המועדון הינו גשר מקצועי לענף ספורט האופניים עבור קהילת תושבי יפו והסביבה, מרכז פעילות פנאי ומרחב חינוכי לתוכניות רכיבה והכשרה לילדים, בני נוער ומבוגרים מכל קשת האוכלוסייה",publish,project,נמל יפו,חץ ומטרה (המסלול ),https://www.hamaslul.com/,מרכז,מחזור ו,נוער וילדים | נשים | יהודים וערבים,32.040365,34.770048,
אנסמבל הנוער של הגליל של תזמורת ירושלים מזרח ומערב,The Galilee Youth Ensemble – Jerusalem East & West Orchestra”,"מיזם מוזיקלי של תזמורת ירושלים מזרח ומערב המטפח מצוינות ושותפות בין נוער יהודי וערבי בגליל המערבי. המשתתפים לומדים שפה מוזיקלית המשלבת מזרח ומערב, תחת הנחיית נגני התזמורת, בדרך לקונצרט משותף בעכו.",publish,project,",ירושלים, באר שבע, יפו, צפון אזור הגליל המערבי – ועכו.",תזמורת ירודשלים מזרח ומערב,https://www.jerusalem-orchestra.co.il,צפון,מחזור ו,נוער וילדים | יהודים וערבים,32.88583,35.168324,
מובילות חיבור,Women Leading Connection,"מובילות חיבור' פועלת לפיתוח מנהיגות נשית מגשרת, שתפעל לקידום לכידות חברתית באמצעות קורסי גישור רב-תרבותיים, סיורים, ליווי ארגונים בתהליכי גיוון והכללה ומנטורינג בין-תרבותי. החזון: נשים ממגזרים שונים מובילות לצמצום הקיטובבחברההישראלית",publish,project,ארצית,קמח קידום מקצועי חרדי,http://www.movilot.org.il/,מרכז,מחזור ו,נשים | דתיים וחילונים,,,
גשרים של הכרות,Bridges of Understanding,"פעילויות גיבוש וחיבור בין שני המגזרים להורדת מחסומים, חששות ויצירת הכרות",publish,project,לוד,הקרן לפיתוח לוד,https://www.lodfoundation.org/,מרכז,מחזור ו,נוער וילדים | יהודים וערבים,31.967555,34.90707,
זורנא - קולקטיב ארטיביסטי יהודי ערבי לתרבות ולשינוי,Zurna,"זורנא מאגדת ארגוני תרבות ואמנים יהודים וערבים לקידום חיים משותפים בישראל.הקהילה מפתחת רשת מקצועית, מאגר נתונים, שיתופי פעולה ופעולות ציבוריות לשינוי תרבותי וחברתי.",publish,project,"פעילויות מתקיימות בפריסה רחבה ברחבי ישראל, בדגש על ערים מעורבות (תל אביב - יפו, ירושלים, חיפה וכו').",מרכז פליציה בלומנטל למוסיקה,https://www.idantoledano.com/zurna,מרכז,מחזור ו,יהודים וערבים | אנשי מקצוע ופעילים,32.040874,34.759576,
"שיפור מערכות יחסים בחברה מגוונת ומקוטבת בדרך ה-U; התוכנית: ""לפלס דרכים""",Paving the Way:Equipping Israel’s Civic/Social Leaders with the Tools to Bridge Divides,,publish,project,"הקורס נערך בתל אביב, בהשתתפות ארגונים מכל הארץ",,,מרכז,מחזור ו,אנשי מקצוע ופעילים,,,
ספריה דו לשונית ערבית – עברית בלוד לעידוד קריאה בגיל הרך,Bilingual Library for Children in Yeruham - Rahma,,publish,project,טיפת חלב ירוחם המשרתת משפחות בכפר הלא מוכר רחמה,,,דרום,מחזור ו,קהל מגוון,30.992918,34.934345,
עוטף דג- כיתות האמן הטיפוליות של 100 דגים- הדג נחש,Hadag embraces,,publish,project,"יישובי עוטף עזה, צפון, שרון, מרכז",,,דרום,מחזור ו,נוער וילדים,31.455773,34.546861,
אדבר איתך - שתי שפות. אהבה אחת.,I Shall Speak to You,,publish,project,רחבי הארץ,,www.rev-orch.com,מרכז,מחזור ו,נוער וילדים,,,
מכוונים גאווה,Kivunim Pride,,publish,project,"חיפה ,מרכז וזום (קבוצה ארצית)",,,כרמל,מחזור ו,"להט""ב | מוגבלויות | צעירים וסטודנטים",,,
מעגלי נשים סבאיא,Sabaya circles,,publish,project,חיפה,,,כרמל,מחזור ו,נשים | יהודים וערבים,,,
הכשרת מנחים ופיתוח תוכן להפחתת דעות קדומות וגזענות,Facilitators Training and Developing Content to Reduce Prejudice and Racism,,publish,project,תוכן הסדנאות להפחתת גזענות מופעל באופן ארצי רחב,,,מרכז,מחזור ו,נוער וילדים | אנשי מקצוע ופעילים,,,
בניית שדה השיח הבין-דתי בישראל,Building the field of interfaith and Middle Eastern dialogue,,publish,project,"ישראל והמזרח התיכון, המטה נמצא בירושלים",,,ירושלים,מחזור ו,אנשי מקצוע ופעילים,,,
נשות הדבש של נחל ציפורי,The Honey Women of the Tzipori Strem,,publish,project,מגוון ישובים בנחל ציפורי,,,צפון,מחזור ו,נוער וילדים | נשים,32.749551,35.206871,
"חמ""ל התרבות בנגב – מקדמים תרבות משותפת",,,publish,project,,,,דרום,מחזור ו,קהל מגוון,31.386117,34.671278,
"בוניה (bunya) ) – לומדים לתקשר, להכיר ולהתחבר",Bunya,,publish,project,ירושלים,,,ירושלים,מחזור ו,אנשי מקצוע ופעילים,,,
